column,value,display,origin
LIBRARYTYPE,TRAP,TRAP,added in rebuild: curator abbreviation
LIBRARYTYPE,miRNA,miRNA-Seq,added in rebuild: ORFik name
LIBRARYTYPE,Disome,Disome-Seq,added in rebuild: curator abbreviation
LIBRARYTYPE,CRAC,CRAC,added in rebuild: curator abbreviation
LIBRARYTYPE,ATAC,ATAC-Seq,added in rebuild: ORFik name
LIBRARYTYPE,ChIP,ChIP-Seq,added in rebuild: ORFik name
LIBRARYTYPE,GRO,GRO-Seq,added in rebuild: ORFik name
LIBRARYTYPE,PAL,PAL-Seq,added in rebuild: ORFik name
LIBRARYTYPE,PAS,PAS-Seq,added in rebuild: ORFik name
LIBRARYTYPE,Ribodepleted RNA,RNA-Seq,added in rebuild: synonym
INHIBITOR,chl,Chloramphenicol,added in rebuild: curator abbreviation
INHIBITOR,aniso,Anisomycin,added in rebuild: curator abbreviation
INHIBITOR,chx_tig,Cycloheximide + Tigecycline,added in rebuild: curator abbreviation
INHIBITOR,chx_ans,Cycloheximide + Anisomycin,added in rebuild: curator abbreviation
FRACTION,thaps,Thapsigargin,added in rebuild: ORFik name
FRACTION,silvestrol,Silvestrol,added in rebuild: ORFik name
FRACTION,membrane,Membrane,added in rebuild: ORFik name
FRACTION,disome,Disome,added in rebuild: curator abbreviation
FRACTION,Dis,Disome,added in rebuild: curator abbreviation
FRACTION,Mono,Monosome,added in rebuild: curator abbreviation
FRACTION,80S monosome,Monosome,added in rebuild: synonym
FRACTION,Monosome (1 ribosome),Monosome,added in rebuild: synonym
FRACTION,Light polysome (2-4 ribosomes),Polysome,added in rebuild: synonym
FRACTION,Membrane bound polysome (MBP),Membrane,added in rebuild: synonym
FRACTION,Tg,Thapsigargin,added in rebuild: ORFik name
LIBRARYTYPE,tRNA,tRNA-Seq,added in rebuild: consistent naming
